epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,1.0569565482614165,0.19986905,0.1437309946740982,tensor(0.2793),0.20760681918690108
1,0.6753215960699235,0.33259478,0.2762606151885037,tensor(0.2817),0.210603255947308
2,0.47062538867878123,0.3638123,0.31134745499245475,tensor(0.5268),0.4654444803669672
3,0.34261777121308856,0.37908685,0.3281277983422583,tensor(0.5562),0.48891747643453715
4,0.2678492709076235,0.38628197,0.3342318357023492,tensor(0.5740),0.5317423962286725
5,0.209861080581543,0.40100786,0.3521415079429986,tensor(0.7439),0.7087112992998109
6,0.17249213784085632,0.41039637,0.36416333731023115,tensor(0.7490),0.7168536798971211
7,0.1476826333745396,0.41231638,0.36591454076994445,tensor(0.7965),0.761844641012393
8,0.13519930963126403,0.41190842,0.3652257643797915,tensor(0.8523),0.8192045378425372
9,0.12213682344456984,0.41459814,0.36867252744550544,tensor(0.6948),0.6618310560644062
10,0.11893421137855516,0.41441664,0.3692455109466709,tensor(0.6952),0.6628773097016188
11,0.09986917386758384,0.42197853,0.3775710817645931,tensor(0.8027),0.7717483983347817
12,0.09607715041363409,0.42330915,0.380290527352986,tensor(0.7481),0.7156790436374435
13,0.0952790827265283,0.4200533,0.37548918185710656,tensor(0.7434),0.7076501447857841
14,0.08498547314467589,0.42543685,0.3823665525261026,tensor(0.7478),0.7151087226826354
15,0.08435924725509933,0.42608878,0.3839091970933174,tensor(0.6972),0.6660145796291315
16,0.07449346740169548,0.4299019,0.38830274506600143,tensor(0.7442),0.7096451319431424
17,0.08322618410909345,0.42252192,0.3785360788657089,tensor(0.8188),0.7706641913490294
18,0.10166573026592697,0.414656,0.3694005849499289,tensor(0.8047),0.773926976646575
19,0.08432882837068413,0.4202539,0.3752390202827609,tensor(0.8533),0.8214972373658493
