epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,0.8395008487701416,-0.85965294,tensor(0.2867),tensor(0.3207),tensor(0.2486)
1,0.7851073298454284,-0.47559056,tensor(0.4688),tensor(0.3254),tensor(0.2467)
2,0.7333481473922729,-0.38697508,tensor(0.5245),tensor(0.4927),tensor(0.3921)
3,0.6831272077560425,-0.31789806,tensor(0.5275),tensor(0.4796),tensor(nan)
4,0.5967469100952149,-0.28215054,tensor(0.6183),tensor(0.5077),tensor(nan)
5,0.5265279211997986,-0.24453,tensor(0.6345),tensor(0.5403),tensor(0.4528)
6,0.44859713125228884,-0.2258362,tensor(0.6965),tensor(0.4793),tensor(nan)
7,0.38295484590530393,-0.20548905,tensor(0.7044),tensor(0.5473),tensor(nan)
8,0.33020151281356813,-0.19444004,tensor(0.7237),tensor(0.5087),tensor(nan)
9,0.28301760435104373,-0.18118209,tensor(0.7287),tensor(0.5633),tensor(nan)
10,0.2553278064727783,-0.17179355,tensor(0.7393),tensor(0.5190),tensor(nan)
11,0.22362949419021608,-0.1688661,tensor(0.7502),tensor(0.5172),tensor(nan)
12,0.20921912670135498,-0.1643432,tensor(0.7597),tensor(0.4999),tensor(nan)
13,0.19409466314315796,-0.1596474,tensor(0.7620),tensor(0.5458),tensor(nan)
14,0.17870934820175172,-0.16000487,tensor(0.7721),tensor(0.5370),tensor(nan)
15,0.16534146547317505,-0.15440528,tensor(0.7737),tensor(0.5069),tensor(nan)
16,0.17167113828659059,-0.15159045,tensor(0.7646),tensor(0.5316),tensor(nan)
17,0.1583272442817688,-0.15224938,tensor(0.7758),tensor(0.5316),tensor(nan)
18,0.1637869563102722,-0.1492791,tensor(0.7619),tensor(0.5897),tensor(nan)
19,0.14642313718795777,-0.14787896,tensor(0.7759),tensor(0.5502),tensor(nan)
20,0.14138494968414306,-0.1460664,tensor(0.7802),tensor(0.5258),tensor(nan)
21,0.13782876443862915,-0.14561822,tensor(0.7803),tensor(0.5790),tensor(nan)
22,0.1426486358642578,-0.14063062,tensor(0.7726),tensor(0.5439),tensor(nan)
23,0.14320292901992798,-0.13975821,tensor(0.7696),tensor(0.5909),tensor(nan)
24,0.1358325490951538,-0.14334027,tensor(0.7850),tensor(0.5118),tensor(nan)
25,0.1440613808631897,-0.13897021,tensor(0.7727),tensor(0.5090),tensor(nan)
26,0.1385443525314331,-0.13723566,tensor(0.7737),tensor(0.5264),tensor(nan)
27,0.12445961189270019,-0.1337108,tensor(0.7933),tensor(0.5401),tensor(nan)
28,0.11611422491073609,-0.13379483,tensor(0.8084),tensor(0.5646),tensor(nan)
29,0.12590873289108276,-0.12936318,tensor(0.7935),tensor(0.5198),tensor(nan)
30,0.13022417211532591,-0.12408691,tensor(0.7799),tensor(0.5397),tensor(nan)
31,0.12468928098678589,-0.124325775,tensor(0.7929),tensor(0.5393),tensor(nan)
32,0.11598977994918823,-0.12491445,tensor(0.7966),tensor(0.5248),tensor(nan)
33,0.11568081855773926,-0.12295189,tensor(nan),tensor(0.5397),tensor(nan)
34,0.11472312355041504,-0.12492661,tensor(0.8054),tensor(0.5152),tensor(nan)
35,0.11744928073883057,-0.124324694,tensor(0.8015),tensor(0.5265),tensor(nan)
36,0.10981095647811889,-0.12394306,tensor(0.8120),tensor(0.5209),tensor(nan)
37,0.12253737640380859,-0.11872107,tensor(0.7927),tensor(0.5424),tensor(nan)
38,0.10573611879348754,-0.11970564,tensor(0.8084),tensor(0.5299),tensor(nan)
39,0.10883857154846191,-0.11951385,tensor(0.8118),tensor(0.5826),tensor(nan)
40,0.1180907850265503,-0.11209054,tensor(0.7902),tensor(0.5186),tensor(nan)
41,0.12043192863464355,-0.11135433,tensor(0.7865),tensor(0.4241),tensor(nan)
42,0.11047341918945312,-0.11580649,tensor(0.8077),tensor(0.5821),tensor(nan)
43,0.10485198974609375,-0.113946065,tensor(nan),tensor(0.6002),tensor(nan)
44,0.11093326091766358,-0.114163294,tensor(0.8093),tensor(0.5159),tensor(nan)
45,0.11521493196487427,-0.11122295,tensor(0.7947),tensor(0.5867),tensor(nan)
46,0.12079109048843384,-0.10895595,tensor(0.7859),tensor(0.5935),tensor(nan)
47,0.10685955762863159,-0.11343175,tensor(0.8093),tensor(0.5279),tensor(nan)
48,0.10650016593933105,-0.11303938,tensor(0.8068),tensor(0.5744),tensor(nan)
49,0.11919551658630372,-0.10826835,tensor(0.7885),tensor(0.5369),tensor(nan)
